index,belongs_to_collection,count,mean,sum
595,House of 1000 Corpses Collection,1,16829545.0,16829545.0
32,Aashiqui Collection,1,16000000.0,16000000.0
681,Kickboxer Collection,2,7973858.5,15947717.0
1640,Wishmaster Collection,1,15719109.0,15719109.0
1397,The Man with the Iron Fists Collection,1,15608545.0,15608545.0
378,Dungeons & Dragons Collection,1,15185241.0,15185241.0
148,Beastmaster Collection,2,7462926.5,14925853.0
1458,The Secret Of NIMH Collection,1,14665733.0,14665733.0
1572,Ultimate Avengers Collection,2,7300000.0,14600000.0
1241,The Arrival Collection,1,14048372.0,14048372.0
597,House of the Dead Collection,1,13818181.0,13818181.0
1190,Sällskapsresorna,2,6828259.5,13656519.0
1683,ДухLess (Коллекция),1,13218980.0,13218980.0
400,Enter the Ninja Collection,1,13168027.0,13168027.0
993,Puella Magi Madoka Magica: The Movie,1,12947880.0,12947880.0
1578,Universal Soldier Collection,3,4315195.333333333,12945586.0
189,Bon Cop Bad Cop Collection,1,12671300.0,12671300.0
186,Bloodsport Collection,2,6245235.0,12490470.0
1139,Snow Queen Collection,1,12400000.0,12400000.0
1577,Undisputed Collection,1,12398628.0,12398628.0
501,Ghost in the Shell Collection,2,6038682.5,12077365.0
465,Frankenstein (Universal Series),1,12000000.0,12000000.0
749,Lew Harper Collection,1,12000000.0,12000000.0
1544,Torrente Collection,1,11672363.0,11672363.0
840,Mommies Collection,1,11666088.0,11666088.0
1565,Turbulence Collection,1,11466088.0,11466088.0
391,Elements Trilogy,3,3817630.6666666665,11452892.0
125,Balto Collection,1,11348324.0,11348324.0
925,Ong Bak Collection,3,3759013.6666666665,11277041.0
740,Leprechaun Collection (Original Series),2,5408781.0,10817562.0
712,L'allenatore nel pallone - Collezione,1,10743767.0,10743767.0
570,Hercules (Lou Ferrigno) Collection,1,10676194.0,10676194.0
1260,The Boondock Saints Collection,2,5329896.0,10659792.0
69,American Ninja Collection,1,10499694.0,10499694.0
63,Alone in the Dark Collection,1,10442808.0,10442808.0
287,Cyborg Collection,1,10166459.0,10166459.0
1625,What the Bleep! Collection,2,5069456.5,10138913.0
1188,Swan Princess Series,2,5022651.0,10045302.0
513,Godzilla (Millennium) Collection,1,10037390.0,10037390.0
691,King Kong (1933 series),1,10000000.0,10000000.0
1689,Самый лучший фильм - Коллекция,1,9816332.0,9816332.0
1119,Singam Collection,1,9700000.0,9700000.0
201,Brooklyn Cigar Store Collection,2,4812215.0,9624430.0
593,House Collection,2,4769448.5,9538897.0
235,Cetto La Qualunque - Collezione,1,8927600.0,8927600.0
1618,We Are From The Future Collection,1,8910819.0,8910819.0
1163,Stargate SG-1 Collection,1,8900000.0,8900000.0
315,Deathstalker Collection,1,8890685.0,8890685.0
892,New Kids Collection,1,8786756.0,8786756.0
626,Infernal Affairs Collection,1,8708932.0,8708932.0
1281,The Condemned Collection,1,8642858.0,8642858.0
1520,This is England Collection,1,8176544.0,8176544.0
636,Iron Sky Collection,1,8135031.0,8135031.0
81,Anglo-Zulu War Collection,1,8000000.0,8000000.0
313,Death Race Original Collection,1,8000000.0,8000000.0
415,F.C. De Kampioenen Collectie,1,7471304.0,7471304.0
483,Fullmetal Alchemist Collection,1,7401480.0,7401480.0
1065,Samurai Trilogy,1,7338987.0,7338987.0
574,High School Musical Collection,1,7000000.0,7000000.0
1380,The Legend Collection,2,3462290.5,6924581.0
463,Fortress Collection,1,6739141.0,6739141.0
20,9½ Weeks Collection,1,6735922.0,6735922.0
1444,The Raid Collection,2,3366198.0,6732396.0
1512,The Work and the Glory Collection,3,2232590.3333333335,6697771.0
1143,Space Dogs,1,6500000.0,6500000.0
160,Best of the Best Collection,1,6500000.0,6500000.0
519,Goon Collection,1,6483963.0,6483963.0
1600,Vixens Collection,1,6000000.0,6000000.0
583,Hooked Collection,2,2999382.5,5998765.0
321,Department Q series,1,5900000.0,5900000.0
1070,Sarkar Collection,1,5900000.0,5900000.0
1351,The Hitcher (1986) Collection,1,5844868.0,5844868.0
1082,Screamers Collection,1,5781885.0,5781885.0
139,Batman (DC Universe Animated) Collection,1,5617391.0,5617391.0
1200,Tales from the Crypt Collection,1,5600000.0,5600000.0
395,Elvira Collection,1,5596267.0,5596267.0
107,Atlas Shrugged Collection,2,2737039.5,5474079.0
1561,Troll Collection,1,5450815.0,5450815.0
300,Darko Collection,2,2685261.0,5370522.0
793,Major Korenev Trilogy,3,1722113.3333333333,5166340.0
667,Justice League (Animated) Collection,1,5155325.0,5155325.0
1392,The Magnificent Seven Collection,1,4905000.0,4905000.0
386,Eddie and the Cruisers Collection,1,4786789.0,4786789.0
903,"No Retreat, No Surrender Collection",2,2385145.5,4770291.0
510,God of Gamblers Collection,1,4762337.0,4762337.0
813,McHale's Navy Collection,1,4529843.0,4529843.0
402,Erkan & Stefan Filmreihe,1,4508104.0,4508104.0
21,A Better Tomorrow Collection,1,4469460.0,4469460.0
997,Pumpkinhead Collection,1,4385516.0,4385516.0
843,Monsters Collection,1,4242978.0,4242978.0
489,Gangs of Wasseypur Collection,1,4100000.0,4100000.0
512,Godzilla (Heisei) Collection,1,4100000.0,4100000.0
230,Cat People Collection,1,4000000.0,4000000.0
1547,Trailer Park Boys Collection,1,3833507.0,3833507.0
1165,State Property Collection,2,1899272.0,3798544.0
209,C.H.U.D. Collection,1,3412497.0,3412497.0
525,Green Street Hooligans Collection,1,3154346.0,3154346.0
542,Hamilton Collection,1,3142763.0,3142763.0
895,Night of the Demons Collection,1,3109904.0,3109904.0
1322,The Fly (1958 series),1,3000000.0,3000000.0
19,976-EVIL Collection,1,2955917.0,2955917.0
208,Burnt by the Sun Trilogy,1,2616503.0,2616503.0
224,Care Bears Collection,1,2608000.0,2608000.0
256,Class of 1999 Collection,1,2459895.0,2459895.0
183,BloodRayne Collection,1,2405420.0,2405420.0
919,Omega Code Series,1,2400000.0,2400000.0
1001,Qatsi Collection,3,775474.6666666666,2326424.0
388,El pico - Colección,2,1132261.0,2264522.0
909,Nymphomaniac Collection,1,2227167.0,2227167.0
922,Once were Warriors Collection,1,2201126.0,2201126.0
298,Dark World Collection,1,2118871.0,2118871.0
12,3 Men (Original) Collection,1,2052466.0,2052466.0
1014,Re-Animator Collection,1,2023414.0,2023414.0
304,Dead Snow Collection,2,1011067.5,2022135.0
226,Carnosaur Collection,1,1753979.0,1753979.0
1529,Till Luck Do Us Part Collection,1,1672940.0,1672940.0
767,Los Leguineche - Colección,1,1622164.0,1622164.0
45,Aki Kaurismäki's Finland trilogy,1,1615018.0,1615018.0
206,Bummer Collection,1,1600000.0,1600000.0
1476,The Stepfather Collection,1,1519796.0,1519796.0
94,Appleseed Collection,1,1461989.0,1461989.0
1484,The Thin Man Collection,1,1423000.0,1423000.0
705,Korengal Valley Documentaries,1,1422910.0,1422910.0
565,Henry Fool Collection,1,1334786.0,1334786.0
195,Brancaleone Collection,1,1314230.0,1314230.0
274,Creature From The Black Lagoon (Universal Series),1,1300000.0,1300000.0
1406,The Messengers Collection,1,1109660.0,1109660.0
1366,The Invisible Man (Universal Series),1,1040000.0,1040000.0
366,Dracula (Universal Series),1,1012189.0,1012189.0
1300,The Disappearance Of Eleanor Rigby,1,985007.0,985007.0
1218,Tekken Collection,1,967000.0,967000.0
1490,The Trip Collection,1,951179.0,951179.0
365,Dracula (Hammer Series),2,454706.5,909413.0
1503,The Waxwork Collection,1,808114.0,808114.0
89,Another Gay Movie Collection,1,745327.0,745327.0
399,Encounters of the Spooky Kind Collection,1,731753.0,731753.0
1239,The Apu Collection,3,240859.66666666666,722579.0
437,Feast Collection,1,658573.0,658573.0
187,Blue Collar Comedy Tour Collection,1,604856.0,604856.0
606,I Spit on Your Grave Collection,2,286809.0,573618.0
283,Cube Collection,1,501818.0,501818.0
1090,Sex and Zen Collection,1,396003.0,396003.0
1132,Sleuth Collection,1,342835.0,342835.0
1237,The Angrez Collection,1,300000.0,300000.0
359,Dorm Daze Collection,1,263941.0,263941.0
1203,Tanu Weds Manu Collection,1,252000.0,252000.0
60,Allan Quatermain Collection,1,238227.0,238227.0
1496,The Up Series,1,238073.0,238073.0
30,ABCD Collection,1,222000.0,222000.0
1187,Swamp Thing Collection,1,192816.0,192816.0
